ho_ten,mssv,lop,lap_trinh_c,tc_ltc,ctdl_gt,tc_ctdl,toan_roi_rac,tc_trd,mang_may_tinh,tc_mmt,co_so_du_lieu,tc_csdl,lap_trinh_web,tc_ltw,ktpm,tc_ktpm,hoc_ky
Nguyễn Văn A,22T1020001,K46A,A,3,A,3,B,2,A,3,A,3,A,3,B,2,HK1-2025
Nguyễn Văn B,22T1020002,K46A,C,3,C,3,B,2,C,3,B,3,B,3,C,2,HK1-2025
Nguyễn Văn C,22T1020003,K46A,A,3,A,3,A,2,A,3,A,3,B,3,A,2,HK1-2025
Nguyễn Văn D,22T1020004,K46A,D,3,D,3,C,2,C,3,D,3,C,3,D,2,HK1-2025
Nguyễn Văn E,22T1020005,K46A,B,3,B,3,A,2,B,3,A,3,B,3,B,2,HK1-2025
Nguyễn Văn F,22T1020006,K46A,C,3,C,3,D,2,C,3,C,3,B,3,C,2,HK1-2025
Nguyễn Văn G,22T1020007,K46A,A,3,A,3,B,2,A,3,A,3,A,3,A,2,HK1-2025
Nguyễn Văn H,22T1020008,K46A,D,3,D,3,D,2,D,3,D,3,D,3,D,2,HK1-2025
Nguyễn Văn I,22T1020009,K46A,B,3,B,3,B,2,A,3,B,3,B,3,B,2,HK1-2025
Nguyễn Văn J,22T1020010,K46A,B,3,C,3,B,2,B,3,C,3,B,3,B,2,HK1-2025
Nguyễn Văn K,22T1020011,K46B,A,3,A,3,A,2,A,3,A,3,A,3,A,2,HK1-2025
Nguyễn Văn L,22T1020012,K46B,C,3,C,3,B,2,C,3,C,3,C,3,C,2,HK1-2025
Nguyễn Văn M,22T1020013,K46B,B,3,B,3,A,2,B,3,A,3,B,3,B,2,HK1-2025
Nguyễn Văn N,22T1020014,K46B,A,3,A,3,A,2,A,3,A,3,A,3,A,2,HK1-2025
Nguyễn Văn O,22T1020015,K46B,D,3,D,3,D,2,C,3,D,3,D,3,D,2,HK1-2025
Nguyễn Văn P,22T1020016,K46B,B,3,B,3,C,2,B,3,B,3,B,3,B,2,HK1-2025
Nguyễn Văn Q,22T1020017,K46B,A,3,A,3,A,2,A,3,A,3,A,3,A,2,HK1-2025
Nguyễn Văn R,22T1020018,K46B,C,3,D,3,C,2,C,3,C,3,C,3,C,2,HK1-2025
Nguyễn Văn S,22T1020019,K46B,B,3,B,3,C,2,A,3,B,3,B,3,B,2,HK1-2025
Nguyễn Văn T,22T1020020,K46B,C,3,B,3,B,2,C,3,B,3,B,3,C,2,HK1-2025
Nguyễn Văn U,22T1020021,K46C,A,3,A,3,B,2,A,3,A,3,A,3,A,2,HK1-2025
Nguyễn Văn V,22T1020022,K46C,B,3,B,3,A,2,B,3,B,3,A,3,B,2,HK1-2025
Nguyễn Văn W,22T1020023,K46C,C,3,C,3,C,2,B,3,C,3,C,3,C,2,HK1-2025
Nguyễn Văn X,22T1020024,K46C,A,3,A,3,A,2,A,3,A,3,A,3,A,2,HK1-2025
Nguyễn Văn Y,22T1020025,K46C,D,3,D,3,D,2,D,3,D,3,D,3,D,2,HK1-2025
Nguyễn Văn Z,22T1020026,K46C,B,3,A,3,B,2,B,3,B,3,B,3,B,2,HK1-2025
Nguyễn Văn AA,22T1020027,K46C,C,3,C,3,B,2,B,3,C,3,C,3,C,2,HK1-2025
Nguyễn Văn AB,22T1020028,K46C,A,3,A,3,A,2,A,3,A,3,A,3,A,2,HK1-2025
Nguyễn Văn AC,22T1020029,K46C,D,3,D,3,D,2,D,3,D,3,D,3,D,2,HK1-2025
Nguyễn Văn AD,22T1020030,K46C,B,3,B,3,B,2,B,3,B,3,B,3,B,2,HK1-2025
Nguyễn Văn AE,22T1020031,K46D,A,3,B,3,A,2,A,3,A,3,A,3,B,2,HK1-2025
Nguyễn Văn AF,22T1020032,K46D,B,3,A,3,B,2,B,3,B,3,A,3,B,2,HK1-2025
Nguyễn Văn AG,22T1020033,K46D,C,3,B,3,C,2,C,3,C,3,B,3,C,2,HK1-2025
Nguyễn Văn AH,22T1020034,K46D,A,3,A,3,A,2,A,3,A,3,A,3,A,2,HK1-2025
Nguyễn Văn AI,22T1020035,K46D,D,3,C,3,D,2,D,3,D,3,C,3,D,2,HK1-2025
Nguyễn Văn AJ,22T1020036,K46D,B,3,B,3,A,2,B,3,A,3,B,3,A,2,HK1-2025
Nguyễn Văn AK,22T1020037,K46D,A,3,A,3,B,2,A,3,A,3,A,3,B,2,HK1-2025
Nguyễn Văn AL,22T1020038,K46D,C,3,C,3,C,2,B,3,C,3,C,3,C,2,HK1-2025
Nguyễn Văn AM,22T1020039,K46D,B,3,B,3,B,2,B,3,B,3,B,3,B,2,HK1-2025
Nguyễn Văn AN,22T1020040,K46D,A,3,A,3,A,2,A,3,A,3,A,3,A,2,HK1-2025
